Markdown_Recipe_Name,Suggested_Salesforce_Name,Category,Ingredients,Instructions,Recipe_Content,Source_File,Extracted
Overnight Steel-Cut Oats,Overnight Steel-Cut Oats,Breakfast,"2.5 cups steel-cut oats
5 cups unsweetened almond milk (or skim milk)
2 tsp cinnamon
2 tsp vanilla extract
2 Tbsp honey (optional)
TOPPINGS: Berries, nuts, Greek yogurt",1.,"**Servings: 5** | **Prep: 5 min** | **Cook: Overnight**

#### Ingredients:
- 2.5 cups steel-cut oats
- 5 cups unsweetened almond milk (or skim milk)
- 2 tsp cinnamon
- 2 tsp vanilla extract
- 2 Tbsp honey (optional)
- TOPPINGS: Berries, nuts, Greek yogurt

#### Instructions:
1. **Saturday Night:** Mix oats, milk, cinnamon, vanilla in large container
2. Refrigerate overnight (8+ hours)
3. **Sunday Morning:** Divide into 5 containers
4. Top each with ¼ cup berries + 1 Tbsp chopped nuts

**MEAL PREP:** Make on Saturday night, grab containers Monday-Friday!

**Nutrition per serving:**
- Calories: 280 | Protein: 12g | Fiber: 8g | Sodium: <100mg ✓✓✓
",Grab_and_Go_Breakfasts_Guide.md,Yes
Greek Yogurt Parfait Jars,Greek Yogurt Parfait Jars,Breakfast,"Ingredients (per jar):
1 cup plain Greek yogurt (non-fat)
½ cup berries (blueberries, strawberries)
2 Tbsp granola (low-sugar)
1 tsp honey drizzle
Sprinkle of cinnamon",,"**Servings: 5** | **Prep: 10 min**

#### Ingredients (per jar):
- 1 cup plain Greek yogurt (non-fat)
- ½ cup berries (blueberries, strawberries)
- 2 Tbsp granola (low-sugar)
- 1 tsp honey drizzle
- Sprinkle of cinnamon

#### Assembly (Sunday Prep):
1. Layer in mason jars: yogurt → berries → granola
2. Seal and refrigerate up to 5 days
3. Grab and go each morning!

**COST:** ~$1.50 per serving

**Nutrition per serving:**
- Calories: 220 | Protein: 20g | Fiber: 4g | Sodium: <80mg ✓✓✓
",Grab_and_Go_Breakfasts_Guide.md,Partial
Egg Muffin Cups,Egg Muffin Cups,Breakfast,"12 large eggs
½ cup skim milk
2 cups vegetables (bell peppers, spinach, mushrooms, diced)
1 cup reduced-fat cheese (optional: ½ cup)
Black pepper, garlic powder
Cooking spray",1.,"**Servings: 15 muffins (3 per person)** | **Prep: 15 min** | **Bake: 20 min**

#### Ingredients:
- 12 large eggs
- ½ cup skim milk
- 2 cups vegetables (bell peppers, spinach, mushrooms, diced)
- 1 cup reduced-fat cheese (optional: ½ cup)
- Black pepper, garlic powder
- Cooking spray

#### Instructions:
1. **Sunday Prep:** Preheat oven to 350°F
2. Whisk eggs and milk
3. Add vegetables, cheese, seasonings
4. Pour into greased muffin tins (fill ¾ full)
5. Bake 18-20 minutes until set
6. Cool and store in fridge (5 days) or freezer (3 months)

**TO SERVE:** Microwave 30-60 seconds

**Nutrition per muffin:**
- Calories: 70 | Protein: 6g | Sodium: <100mg ✓✓✓

**GRAB 3 MUFFINS = Full breakfast!**
",Grab_and_Go_Breakfasts_Guide.md,Yes
Peanut Butter Banana Overnight Oats,Peanut Butter Banana Overnight Oats,Breakfast,"Ingredients (per jar):
½ cup old-fashioned oats
½ cup unsweetened almond milk
2 Tbsp natural peanut butter (no salt added)
½ banana, sliced
½ tsp cinnamon
1 tsp chia seeds",1.,"**Servings: 5 jars** | **Prep: 10 min** | **Soak: Overnight**

#### Ingredients (per jar):
- ½ cup old-fashioned oats
- ½ cup unsweetened almond milk
- 2 Tbsp natural peanut butter (no salt added)
- ½ banana, sliced
- ½ tsp cinnamon
- 1 tsp chia seeds

#### Instructions:
1. **Tuesday Night:** Layer in mason jars
2. Refrigerate overnight
3. Shake and eat cold, or microwave 1 minute

**Nutrition per jar:**
- Calories: 310 | Protein: 12g | Fiber: 8g | Sodium: <50mg ✓✓✓
",Grab_and_Go_Breakfasts_Guide.md,Yes
Whole Wheat Toast with Toppings Bar,Whole Wheat Toast with Toppings Bar,Breakfast,,,"**Servings: 5** | **Prep: 5 min**

#### Base:
- 2 slices whole wheat bread per person = 10 slices
- Toast in toaster

#### Topping Options (Choose 2-3):
**Option 1: Avocado Smash**
- 3 avocados, mashed
- Lemon juice, black pepper
- Cherry tomatoes

**Option 2: Almond Butter + Banana**
- Natural almond butter
- Banana slices
- Drizzle honey, cinnamon

**Option 3: Greek Yogurt + Berries**
- Plain Greek yogurt spread
- Fresh berries
- Granola sprinkle

**COST:** $1.00-1.50 per person

**Nutrition (2 slices with avocado):**
- Calories: 320 | Protein: 10g | Fiber: 12g | Sodium: <250mg ✓✓
",Grab_and_Go_Breakfasts_Guide.md,No
Breakfast Burrito Wraps,Breakfast Burrito Wraps,Breakfast,"10 large eggs, scrambled
1 cup black beans (low-sodium, rinsed)
1 bell pepper, diced
1 cup reduced-fat cheese
5 whole wheat tortillas (10-inch)
Salsa (optional)",1.,"**Servings: 5 burritos** | **Prep: 20 min** | **Cook: 10 min**

#### Ingredients:
- 10 large eggs, scrambled
- 1 cup black beans (low-sodium, rinsed)
- 1 bell pepper, diced
- 1 cup reduced-fat cheese
- 5 whole wheat tortillas (10-inch)
- Salsa (optional)

#### Instructions:
1. **Sunday Prep:** Scramble eggs with peppers
2. Warm tortillas
3. Fill each: eggs, beans, cheese
4. Roll tightly, wrap in foil
5. **Store:** Refrigerate 5 days or freeze 2 months

**TO REHEAT:** Microwave 1-2 minutes (or 3-4 if frozen)

**Nutrition per burrito:**
- Calories: 380 | Protein: 24g | Fiber: 8g | Sodium: <600mg ✓
",Grab_and_Go_Breakfasts_Guide.md,Yes
Protein Smoothie Bowls,Protein Smoothie Bowls,Breakfast,"Base (blend per person):
1 cup frozen berries
½ banana
½ cup Greek yogurt
½ cup unsweetened almond milk
1 scoop protein powder (optional)
Handful spinach (you won't taste it!)

Toppings:
Granola (2 Tbsp)
Fresh berries
Sliced almonds
Chia seeds",,"**Servings: 5** | **Prep: 10 min**

#### Base (blend per person):
- 1 cup frozen berries
- ½ banana
- ½ cup Greek yogurt
- ½ cup unsweetened almond milk
- 1 scoop protein powder (optional)
- Handful spinach (you won't taste it!)

#### Toppings:
- Granola (2 Tbsp)
- Fresh berries
- Sliced almonds
- Chia seeds

**Nutrition per bowl:**
- Calories: 280 | Protein: 22g | Fiber: 8g | Sodium: <150mg ✓✓✓
",Grab_and_Go_Breakfasts_Guide.md,Partial
Mason Jar Salads,Mason Jar Salads,Lunch,"Layer Order (bottom to top):
Balsamic vinaigrette
Lemon herb dressing
Greek yogurt ranch",,"**Servings: 5 jars** | **Prep: 20 min** | **Stays Fresh: 5 days**

#### Layer Order (bottom to top):
**LAYER 1 - Dressing (2 Tbsp):**
- Balsamic vinaigrette
- Lemon herb dressing
- Greek yogurt ranch

**LAYER 2 - Hearty Vegetables:**
- Cherry tomatoes, cucumbers, bell peppers, carrots

**LAYER 3 - Protein (4-5 oz):**
- Grilled chicken breast (from Sunday prep)
- Hard-boiled eggs (2 eggs)
- Chickpeas (½ cup)
- Tuna (low-sodium, water-packed)

**LAYER 4 - Grains:**
- Quinoa (½ cup cooked)
- Brown rice (½ cup)
- Whole wheat pasta (½ cup)

**LAYER 5 - Greens:**
- Mixed greens, spinach, arugula (packed tight on top)

**LAYER 6 - Toppings:**
- Nuts/seeds, feta cheese (1 Tbsp)

#### TO SERVE:
Shake jar into bowl, or eat straight from jar!

**Nutrition per jar:**
- Calories: 380 | Protein: 28g | Fiber: 10g | Sodium: <500mg ✓✓

**COST:** $2.50-3.00 per jar
",Healthy_Lunch_Bento_Guide.md,Partial
Turkey & Veggie Wrap,Turkey & Veggie Wrap,Lunch,"Ingredients (per wrap):
1 whole wheat tortilla (10-inch)
3 oz sliced turkey breast (low-sodium)
2 Tbsp hummus
Lettuce, tomato, cucumber, bell pepper strips
1 slice reduced-fat cheese (optional)
Mustard or Greek yogurt spread",,"**Servings: 5 wraps** | **Prep: 15 min**

#### Ingredients (per wrap):
- 1 whole wheat tortilla (10-inch)
- 3 oz sliced turkey breast (low-sodium)
- 2 Tbsp hummus
- Lettuce, tomato, cucumber, bell pepper strips
- 1 slice reduced-fat cheese (optional)
- Mustard or Greek yogurt spread

#### Assembly (Pack night before):
1. Spread hummus on tortilla
2. Layer turkey, cheese, vegetables
3. Roll tightly, cut in half
4. Wrap in parchment paper
5. Store in container with side items

**SIDES:**
- Baby carrots + hummus (¼ cup)
- Apple slices
- String cheese

**Nutrition per wrap + sides:**
- Calories: 420 | Protein: 30g | Fiber: 12g | Sodium: <650mg ✓
",Healthy_Lunch_Bento_Guide.md,Partial
Chicken & Quinoa Buddha Bowl,Chicken & Quinoa Buddha Bowl,Lunch,"Ingredients (per bowl):
1 cup cooked quinoa (from Sunday prep)
4 oz grilled chicken (from Sunday prep)
1 cup roasted vegetables (broccoli, bell peppers, carrots)
¼ avocado, sliced
2 Tbsp tahini lemon dressing
1 Tbsp pumpkin seeds",,"**Servings: 5 bowls** | **Prep: 15 min (if chicken pre-cooked)**

#### Ingredients (per bowl):
- 1 cup cooked quinoa (from Sunday prep)
- 4 oz grilled chicken (from Sunday prep)
- 1 cup roasted vegetables (broccoli, bell peppers, carrots)
- ¼ avocado, sliced
- 2 Tbsp tahini lemon dressing
- 1 Tbsp pumpkin seeds

#### Assembly (Sunday or night before):
1. Pack in compartment containers:
   - Bottom: quinoa
   - Section 1: chicken
   - Section 2: roasted veggies
   - Section 3: avocado (add morning of)
2. Dressing in separate small container
3. Sprinkle seeds on top

**Can be eaten cold or reheated!**

**Nutrition per bowl:**
- Calories: 450 | Protein: 35g | Fiber: 12g | Sodium: <400mg ✓✓✓
",Healthy_Lunch_Bento_Guide.md,Partial
DIY Bento Box,DIY Bento Box,Lunch,"Compartment 1 - Protein:
3 hard-boiled eggs, sliced (make Sunday)
OR 4 oz deli turkey roll-ups
OR 1 cup edamame

Compartment 4 - Healthy Dip:
Hummus (¼ cup)
OR Greek yogurt veggie dip
OR guacamole (2 Tbsp)

Compartment 5 - Fruit:
Berries (½ cup)
Apple slices
Grapes",,"**Servings: 5 boxes** | **Prep: 20 min**

#### Compartment 1 - Protein:
- 3 hard-boiled eggs, sliced (make Sunday)
- OR 4 oz deli turkey roll-ups
- OR 1 cup edamame

#### Compartment 2 - Whole Grains:
- Whole wheat crackers (10-12)
- OR whole wheat pita triangles
- OR brown rice cakes

#### Compartment 3 - Vegetables:
- Cherry tomatoes
- Cucumber slices
- Bell pepper strips
- Baby carrots
- Sugar snap peas

#### Compartment 4 - Healthy Dip:
- Hummus (¼ cup)
- OR Greek yogurt veggie dip
- OR guacamole (2 Tbsp)

#### Compartment 5 - Fruit:
- Berries (½ cup)
- Apple slices
- Grapes

#### Compartment 6 - Treat:
- Small handful nuts (almonds, walnuts)
- String cheese
- Dark chocolate square (85%+)

**Nutrition per box:**
- Calories: 420 | Protein: 24g | Fiber: 14g | Sodium: <500mg ✓✓

**COST:** $2.50 per box
",Healthy_Lunch_Bento_Guide.md,Partial
Mediterranean Pasta Salad,Mediterranean Pasta Salad,Lunch,"1 lb whole wheat pasta (cooked, cooled)
2 cups cherry tomatoes, halved
2 cucumbers, diced
1 bell pepper, diced
½ red onion, diced
½ cup kalamata olives (pitted, halved)
½ cup feta cheese (reduced-fat)
3 cups cooked chicken breast, diced (from Sunday)
Fresh parsley",1.,"**Servings: 5 portions** | **Prep: 25 min** | **Make Sunday**

#### Ingredients:
- 1 lb whole wheat pasta (cooked, cooled)
- 2 cups cherry tomatoes, halved
- 2 cucumbers, diced
- 1 bell pepper, diced
- ½ red onion, diced
- ½ cup kalamata olives (pitted, halved)
- ½ cup feta cheese (reduced-fat)
- 3 cups cooked chicken breast, diced (from Sunday)
- Fresh parsley

#### Dressing:
- ¼ cup olive oil
- 3 Tbsp lemon juice
- 2 cloves garlic, minced
- 1 tsp dried oregano
- Black pepper

#### Instructions:
1. **Sunday:** Cook pasta, cool completely
2. Mix all ingredients in large bowl
3. Toss with dressing
4. Divide into 5 containers
5. Refrigerate up to 5 days

**Nutrition per serving:**
- Calories: 480 | Protein: 32g | Fiber: 8g | Sodium: <600mg ✓
",Healthy_Lunch_Bento_Guide.md,Yes
Chicken Caesar Salad,Chicken Caesar Salad,Lunch,"Ingredients (per salad):
3 cups romaine lettuce, chopped
4 oz grilled chicken breast (from Sunday)
2 Tbsp parmesan cheese
Whole wheat croutons (¼ cup, homemade)
Cherry tomatoes

Lightened Caesar Dressing (make Sunday):
1 cup plain Greek yogurt
2 Tbsp lemon juice
2 cloves garlic, minced
1 tsp Dijon mustard
2 Tbsp parmesan
Black pepper",,"**Servings: 5 salads** | **Prep: 15 min**

#### Ingredients (per salad):
- 3 cups romaine lettuce, chopped
- 4 oz grilled chicken breast (from Sunday)
- 2 Tbsp parmesan cheese
- Whole wheat croutons (¼ cup, homemade)
- Cherry tomatoes

#### Lightened Caesar Dressing (make Sunday):
- 1 cup plain Greek yogurt
- 2 Tbsp lemon juice
- 2 cloves garlic, minced
- 1 tsp Dijon mustard
- 2 Tbsp parmesan
- Black pepper

**Assembly:**
- Keep lettuce, chicken, toppings separate
- Pack dressing separately
- Assemble when ready to eat

**SIDES:**
- Whole wheat crackers (8-10)
- Fresh fruit (apple or berries)

**Nutrition per salad + sides:**
- Calories: 390 | Protein: 38g | Fiber: 8g | Sodium: <550mg ✓
",Healthy_Lunch_Bento_Guide.md,Partial
Tuna & White Bean Salad,Tuna & White Bean Salad,Lunch,"4 cans (5 oz each) tuna (low-sodium, water-packed)
2 cans white beans (cannellini), drained & rinsed
2 cups cherry tomatoes, halved
1 red onion, finely diced
2 celery stalks, diced
¼ cup parsley, chopped
Mixed greens (to serve)",1.,"**Servings: 5 portions** | **Prep: 15 min** | **Make Friday**

#### Ingredients:
- 4 cans (5 oz each) tuna (low-sodium, water-packed)
- 2 cans white beans (cannellini), drained & rinsed
- 2 cups cherry tomatoes, halved
- 1 red onion, finely diced
- 2 celery stalks, diced
- ¼ cup parsley, chopped
- Mixed greens (to serve)

#### Dressing:
- 3 Tbsp olive oil
- 2 Tbsp lemon juice
- 1 tsp Dijon mustard
- Black pepper

#### Instructions:
1. **Friday night:** Mix all salad ingredients
2. Toss with dressing
3. Divide into 5 containers
4. **Saturday:** Serve over mixed greens OR stuff in whole wheat pita

**Nutrition per serving:**
- Calories: 320 | Protein: 30g | Fiber: 10g | Sodium: <400mg ✓✓✓
",Healthy_Lunch_Bento_Guide.md,Yes
Baked Lemon Pepper Chicken,Baked Lemon Pepper Chicken,Dinner,"
Baked Lemon Pepper Chicken:
2.5 lbs chicken breasts (5 pieces, 8 oz each)
3 lemons (juice and zest)
2 Tbsp olive oil
2 tsp lemon pepper seasoning
1 tsp garlic powder
Salt substitute to taste

Garlic Butter Quinoa (using Sunday prep):
4 cups cooked quinoa (from Sunday)
2 Tbsp olive oil (NOT butter)
3 cloves garlic, minced
Fresh parsley

Roasted Broccoli:
2.5 lbs broccoli florets
2 Tbsp olive oil
Garlic powder
Black pepper","1. Preheat oven to 400°F
2. Pat chicken dry, place in baking dish
3. Mix lemon juice, zest, olive oil, seasonings
4. Pour over chicken, bake 25-30 minutes","
**SERVINGS: 5**

#### Baked Lemon Pepper Chicken:
- 2.5 lbs chicken breasts (5 pieces, 8 oz each)
- 3 lemons (juice and zest)
- 2 Tbsp olive oil
- 2 tsp lemon pepper seasoning
- 1 tsp garlic powder
- Salt substitute to taste

**Instructions:**
1. Preheat oven to 400°F
2. Pat chicken dry, place in baking dish
3. Mix lemon juice, zest, olive oil, seasonings
4. Pour over chicken, bake 25-30 minutes

**HEART-HEALTHY NOTES:**
- Skinless chicken = low fat ✓
- Lemon instead of salt = low sodium ✓
- Cook time: 30 minutes

#### Garlic Butter Quinoa (using Sunday prep):
- 4 cups cooked quinoa (from Sunday)
- 2 Tbsp olive oil (NOT butter)
- 3 cloves garlic, minced
- Fresh parsley

**Instructions:**
1. Heat oil in large skillet
2. Sauté garlic 1 minute
3. Add quinoa, toss to heat through
4. Garnish with parsley

#### Roasted Broccoli:
- 2.5 lbs broccoli florets
- 2 Tbsp olive oil
- Garlic powder
- Black pepper

**Instructions:**
1. Toss broccoli with oil and seasonings
2. Spread on baking sheet
3. Roast at 400°F for 20 minutes (same oven as chicken!)

**TOTAL TIME: 30 minutes**  
**CALORIES PER SERVING: ~450**  
**SODIUM: <400mg** ✓
",Week_1_Meal_Plan_5_People.md,Yes
Mediterranean Sheet Pan Chicken,Mediterranean Sheet Pan Chicken,Dinner,"2.5 lbs chicken thighs (boneless, skinless) - 10 pieces
3 bell peppers (mixed colors), cut in strips
2 zucchini, sliced
2 cups cherry tomatoes
1 red onion, sliced
3 Tbsp olive oil
4 cloves garlic, minced
2 tsp dried oregano
1 tsp dried basil
Juice of 2 lemons
Black pepper to taste","1. Preheat oven to 425°F
2. Arrange chicken and vegetables on TWO large sheet pans
3. Drizzle with olive oil, lemon juice
4. Sprinkle with garlic and herbs
5. Bake 25-30 minutes until chicken reaches 165°F","
**SERVINGS: 5**

#### Ingredients:
- 2.5 lbs chicken thighs (boneless, skinless) - 10 pieces
- 3 bell peppers (mixed colors), cut in strips
- 2 zucchini, sliced
- 2 cups cherry tomatoes
- 1 red onion, sliced
- 3 Tbsp olive oil
- 4 cloves garlic, minced
- 2 tsp dried oregano
- 1 tsp dried basil
- Juice of 2 lemons
- Black pepper to taste

**Instructions:**
1. Preheat oven to 425°F
2. Arrange chicken and vegetables on TWO large sheet pans
3. Drizzle with olive oil, lemon juice
4. Sprinkle with garlic and herbs
5. Bake 25-30 minutes until chicken reaches 165°F

**SIDE: Greek Salad**
- Romaine lettuce
- Cucumbers, diced
- Cherry tomatoes
- Feta cheese (2 oz total, sprinkled)
- Greek vinaigrette (from Sunday prep)

**TOTAL TIME: 30 minutes**  
**CALORIES PER SERVING: ~420**  
**SODIUM: <450mg** ✓

**BONUS:** Easy cleanup! Just two pans!
",Week_1_Meal_Plan_5_People.md,Yes
Quick Turkey & Veggie Stir-Fry,Quick Turkey & Veggie Stir-Fry,Dinner,"2.5 lbs ground turkey (93% lean)
4 cups mixed frozen vegetables (from freezer)
2 bell peppers, sliced
1 onion, sliced
4 cloves garlic, minced
3 Tbsp low-sodium soy sauce
2 Tbsp olive oil
1 tsp ginger powder
Black pepper","1. Heat oil in large wok or skillet over high heat
2. Cook ground turkey until browned (8 minutes)
3. Add vegetables, stir-fry 5-7 minutes
4. Add garlic, soy sauce, ginger
5. Cook 2 more minutes","
**SERVINGS: 5**

#### Ingredients:
- 2.5 lbs ground turkey (93% lean)
- 4 cups mixed frozen vegetables (from freezer)
- 2 bell peppers, sliced
- 1 onion, sliced
- 4 cloves garlic, minced
- 3 Tbsp low-sodium soy sauce
- 2 Tbsp olive oil
- 1 tsp ginger powder
- Black pepper

**Instructions:**
1. Heat oil in large wok or skillet over high heat
2. Cook ground turkey until browned (8 minutes)
3. Add vegetables, stir-fry 5-7 minutes
4. Add garlic, soy sauce, ginger
5. Cook 2 more minutes

**SERVE OVER:** Brown rice (from Sunday prep)

**TOTAL TIME: 20 minutes**  
**CALORIES PER SERVING: ~380**  
**SODIUM: <500mg** ✓
",Week_1_Meal_Plan_5_People.md,Yes
One-Pot Creamy Garlic Pasta,One-Pot Creamy Garlic Pasta,Dinner,"1.5 lbs whole wheat penne pasta
3 cups low-sodium chicken broth
2 cups skim milk
6 cloves garlic, minced
2 cups baby spinach
1 cup reduced-fat parmesan cheese
2 Tbsp olive oil
Black pepper
Red pepper flakes (optional)","1. In large pot, heat olive oil
2. Sauté garlic 1 minute
3. Add pasta, broth, milk
4. Bring to boil, reduce heat
5. Simmer 12-15 minutes, stirring often
6. Stir in spinach and cheese last 2 minutes
7. Let sit 5 minutes to thicken","
**SERVINGS: 5**

#### Ingredients:
- 1.5 lbs whole wheat penne pasta
- 3 cups low-sodium chicken broth
- 2 cups skim milk
- 6 cloves garlic, minced
- 2 cups baby spinach
- 1 cup reduced-fat parmesan cheese
- 2 Tbsp olive oil
- Black pepper
- Red pepper flakes (optional)

**Instructions:**
1. In large pot, heat olive oil
2. Sauté garlic 1 minute
3. Add pasta, broth, milk
4. Bring to boil, reduce heat
5. Simmer 12-15 minutes, stirring often
6. Stir in spinach and cheese last 2 minutes
7. Let sit 5 minutes to thicken

**SIDE:** Simple side salad with balsamic vinaigrette

**TOTAL TIME: 25 minutes**  
**CALORIES PER SERVING: ~450**  
**SODIUM: <600mg** (watch the parmesan!)

**MODIFICATION FROM ORIGINAL:** 
- Greek yogurt for heavy cream = saves 600 calories!
- Reduced-fat cheese = less saturated fat
- Whole wheat pasta = more fiber
",Week_1_Meal_Plan_5_People.md,Yes
Sheet Pan Chicken Fajitas,Sheet Pan Chicken Fajitas,Dinner,"2.5 lbs chicken breasts, sliced into strips
5 bell peppers, sliced (use Sunday prep!)
2 large onions, sliced
3 Tbsp olive oil
2 Tbsp fajita seasoning (homemade below)
Juice of 2 limes","1. Preheat oven to 425°F
2. Toss chicken and vegetables with oil, seasoning, lime
3. Spread on TWO large sheet pans
4. Bake 20-25 minutes","
**SERVINGS: 5**

#### Ingredients:
- 2.5 lbs chicken breasts, sliced into strips
- 5 bell peppers, sliced (use Sunday prep!)
- 2 large onions, sliced
- 3 Tbsp olive oil
- 2 Tbsp fajita seasoning (homemade below)
- Juice of 2 limes

**Homemade Fajita Seasoning (lower sodium):**
- 2 tsp chili powder
- 1 tsp cumin
- 1 tsp paprika
- 1 tsp garlic powder
- 1 tsp onion powder
- ½ tsp black pepper

**Instructions:**
1. Preheat oven to 425°F
2. Toss chicken and vegetables with oil, seasoning, lime
3. Spread on TWO large sheet pans
4. Bake 20-25 minutes

**SERVE WITH:**
- 10 whole wheat tortillas (2 per person)
- Shredded lettuce
- Diced tomatoes
- Greek yogurt (instead of sour cream)
- Salsa (check sodium on label)
- Lime wedges

**TOTAL TIME: 25 minutes**  
**CALORIES PER SERVING: ~420 (with 2 tortillas)**  
**SODIUM: <600mg** ✓
",Week_1_Meal_Plan_5_People.md,Yes
Baked Salmon with Herb Butter,Baked Salmon with Herb Butter,Dinner,"
Herb-Crusted Salmon:
2.5 lbs salmon fillets (5 pieces, 8 oz each)
3 Tbsp olive oil
3 Tbsp fresh herbs (parsley, dill)
4 cloves garlic, minced
Zest of 2 lemons
Black pepper

Ultra Crispy Smashed Potatoes:
4 lbs baby potatoes
3 Tbsp olive oil
Fresh herbs
Black pepper, garlic powder

Roasted Asparagus:
2.5 lbs asparagus
2 Tbsp olive oil
Lemon juice
Black pepper","1. Preheat oven to 400°F
2. Mix herbs, garlic, lemon zest, oil
3. Spread on salmon
4. Bake 15-18 minutes until flaky","
**SERVINGS: 5**  
**COOK TIME: 45 minutes**

#### Herb-Crusted Salmon:
- 2.5 lbs salmon fillets (5 pieces, 8 oz each)
- 3 Tbsp olive oil
- 3 Tbsp fresh herbs (parsley, dill)
- 4 cloves garlic, minced
- Zest of 2 lemons
- Black pepper

**Instructions:**
1. Preheat oven to 400°F
2. Mix herbs, garlic, lemon zest, oil
3. Spread on salmon
4. Bake 15-18 minutes until flaky

#### Ultra Crispy Smashed Potatoes:
- 4 lbs baby potatoes
- 3 Tbsp olive oil
- Fresh herbs
- Black pepper, garlic powder

**Instructions:**
1. Boil potatoes until tender (20 min)
2. Drain, let cool 5 minutes
3. Smash each potato flat on sheet pan
4. Drizzle with olive oil, seasonings
5. Bake at 450°F for 20-25 minutes until crispy

#### Roasted Asparagus:
- 2.5 lbs asparagus
- 2 Tbsp olive oil
- Lemon juice
- Black pepper

**Instructions:**
1. Trim asparagus
2. Toss with oil and seasonings
3. Roast at 400°F for 15 minutes

**TOTAL TIME: 45 minutes**  
**CALORIES PER SERVING: ~520**  
**SODIUM: <350mg** ✓

**HEART-HEALTHY NOTES:**
- Salmon = omega-3 fatty acids (excellent for heart!)
- No butter, just olive oil
- Potatoes roasted, not fried
",Week_1_Meal_Plan_5_People.md,Yes
Slow Cooker Chicken & Vegetable Soup,Slow Cooker Chicken & Vegetable Soup,Dinner,"2.5 lbs chicken breasts
8 cups low-sodium chicken broth
4 carrots, sliced
4 celery stalks, sliced
2 onions, diced
3 cups frozen mixed vegetables
4 cloves garlic, minced
2 bay leaves
1 tsp dried thyme
1 tsp dried oregano
Black pepper",,"
**SERVINGS: 5-6 (Great for leftovers!)**  
**COOK TIME: 4-6 hours slow cooker**

#### Ingredients:
- 2.5 lbs chicken breasts
- 8 cups low-sodium chicken broth
- 4 carrots, sliced
- 4 celery stalks, sliced
- 2 onions, diced
- 3 cups frozen mixed vegetables
- 4 cloves garlic, minced
- 2 bay leaves
- 1 tsp dried thyme
- 1 tsp dried oregano
- Black pepper

**Instructions (EASY!):**
1. Put everything in slow cooker in morning
2. Cook on LOW 6 hours or HIGH 4 hours
3. Shred chicken, return to pot
4. Serve with whole wheat bread

**WHILE SOUP COOKS:**
- Do Week 2 meal prep!
- Make overnight oats for breakfast
- Prep snacks for the week

**TOTAL TIME: 15 min prep, hands-off cooking**  
**CALORIES PER SERVING: ~280**  
**SODIUM: <500mg** ✓
",Week_1_Meal_Plan_5_People.md,Yes
